408997955,191
476190476,192
178954903,188
192381685,187
340483486,208
327332242,208
257731958,202
244618395,202
482160077,366
451467268,366
481463649,366
401767778,220
443066016,221
537923614,216
506072874,219
513610683,360
522739153,219
488519785,367
549450549,357
527983104,366
591715976,367
492853622,220
526315789,366
508905852,359
524934383,364
509164969,366
535331905,363
598802395,364
571102227,219
547645125,361
492125984,216
553403431,366
544959128,359
563063063,358
586854460,361
594530321,362
485908649,367
561167227,207
552791597,209
528541226,350
540248514,204
554016620,209
188572506,194
227790432,192
481927710,347
561482313,208
475285171,207
244977951,175
278551532,209
416840350,346
368867576,345
203045685,196
252143217,197
423908435,275
381097560,274
379075056,274
357398141,274
479156684,273
428082191,214
443458980,214
416493127,213
421940928,212
548847420,209
553709856,210
553097345,209
325626831,195
235960358,195
560852495,223
517330574,225
251004016,200
301750150,210
357909806,214
454132606,210
410340582,210
574712643,248
568504832,247
388500388,50
394477317,51
325520833,49
446827524,49
389711613,41
380372765,49
351617440,50
359453630,49
193386192,188
170969396,183
312012480,201
316055625,204
135062128,164
81168831,157
224921277,204
244558571,205
317965023,214
307881773,212
306842589,200
365630712,218
242541838,207
159693388,207
665778961,227
341413451,151
312891113,38
298151460,38
319488817,39
799360511,64
272553829,101
252972426,126
272702481,96
274951883,99
331016219,102
267737617,106
252844500,107
288850375,92
257003341,106
263088660,98
266028198,95
321233536,101
291120815,130
285959393,109
256673511,98
273373428,124
273522975,111
263296471,134
263435194,98
261301280,100
271370420,94
269614451,111
332336324,100
260281103,94
292740046,107
255167134,97
272776868,103
253228665,125
272108843,125
302480338,94
274574409,107
325414904,121
283687943,90
265392781,109
233426704,94
234852043,121
286697247,112
324464633,125
230680507,119
269541778,105
328407224,107
275406224,129
289184499,105
274499039,104
277392510,99
281056773,98
318471337,95
292825768,105
273074822,111
297000297,91
278473962,131
273298715,109
326477309,104
255427841,117
270489586,127
295333727,104
267952840,89
350017500,108
266098988,97
267737617,93
259740259,105
265745415,101
313577924,126
239808153,90
247831474,112
253871541,89
256541816,118
244259892,92
328299409,103
321646831,102
319897632,108
293341155,109
267952840,91
318979266,104
284819139,103
314960629,119
329163923,102
263921879,113
262054507,117
299222022,106
331455087,105
270270270,114
299580587,112
305436774,123
297353553,115
273373428,108
261369576,128
311915159,94
253936008,125
283527076,97
235571260,105
268456375,111
241196333,101
266880170,103
247096614,123
330687830,132
